nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
LOTERANOL 1% EYE SUSP. DROPS 2.8 ML,,,LOTEPREDNOL ETABONATE,,EYE,ORCHIDIA,49.0,,Elhafez Reference 25065
LOTERANOL COMP EYE SUSP. DROPS 5 ML,,,LOTEPREDNOL ETABONATE+TOBRAMYCIN,,EYE,ORCHIDIA,51.0,,Elhafez Reference 25065
LOUGI-TEREX 20 CAPS.,,,DEXTROMETHORPHAN+DOXYLAMINE SUCCINATE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.SOLID,HOCHSTER PHARMACEUTICAL INDUSTRIES,36.0,,Elhafez Reference 25065
LOUJAIN 60 MG 20 CAPS.,,,LOXOPROFEN,,ORAL.SOLID,HOCHSTER PHARMACEUTICAL INDUSTRIES,20.0,,Elhafez Reference 25065
LOVASTMED 40MG 30 TABS,,,LOVASTATIN,,ORAL.SOLID,MASH PREMIERE,81.0,,Elhafez Reference 25065
LOVATA  POWDER 10 SACHETS 20 GERM,,,TOTAL  FAT 1.75 G+SATURATED FAT 1.1 MG+CALCIUM  12+ZINC  4.8+TOTAL CARBOHYDRATE  80 MG+DIETARY FIBERS  1.9 MG+PROTEIN  50 G+VITAMIN C  7.2 MG+IRON  12 MG+VITAMIN B12  0.5 MCG+VITAMIN B6 0.04 MG+VITAMIN A 15 MG+MAGNESIUM  11 MG+FOLIC ACID  5  MCG,,EFF,MED CARE EGYPT > GENUINE PHARMACEUTICAL COMPANY,145.0,,Elhafez Reference 25065
LOVAZA 30 PIECES,,,OMEGA 3+VITAMIN C+VITAMIN B+FOLIC ACID,,ORAL.SOLID,> VORTEX,135.0,,Elhafez Reference 25065
LOVIR 400 MG 10 ORAL DISP. TABS.,,,ACYCLOVIR,,ORAL.SOLID,SUN PHARMA EGYPT LIMITED > RANBAXY,76.0,,Elhafez Reference 25065
LOVIR 800 MG 35 ORAL DISP. TABS.,,,ACYCLOVIR,,ORAL.SOLID,SUN PHARMA EGYPT LIMITED,300.0,,Elhafez Reference 25065
LOVITROD ORAL DROPS 30 ML,,,VITAMIN D3+LACTOBACILLUS REUTERI,,ORAL.LIQUID,PHARMAZAD > SAFE LIFE,150.0,,Elhafez Reference 25065
LOVY 2G*100 SACHETS,,,SORBITOL+SUCRALOSE,,EFF,> AMD,120.0,,Elhafez Reference 25065
LOVY 2G*50 SACHETS,,,SORBITOL+SUCRALOSE,,EFF,> AMD,69.0,,Elhafez Reference 25065
LOW PRESS 100 MG 20 TABS.,,,METOPROLOL TARTRATE,,ORAL.SOLID,HI-PHARM,9.5,,Elhafez Reference 25065
LOW-STEROL 10MG 20 F.C. TAB. (N/A),,,SIMVASTATIN,,ORAL.SOLID,UP PHARMA,63.8,,Elhafez Reference 25065
LOWLIP 300MG 10 TAB.,,,GEMFIBROZIL,,ORAL.SOLID,ALFACURE PHARMACEUTICALS,5.5,,Elhafez Reference 25065
LOWPARIN 40MG/0.4ML S.C. 5 AMP. (N/A),,,ENOXAPARIN SODIUM,,INJECTION,EL NILE. > EPCI,76.0,,Elhafez Reference 25065
LOWPARIN 60MG/0.6ML SOLN. FOR S.C INJECTION (N/A),,,ENOXAPARIN SODIUM,,INJECTION,EL NILE. > EPCI,16.0,,Elhafez Reference 25065
LOWTIMIB 10 MG 10 TAB.,,,EZETIMIBE,,ORAL.SOLID,PHAROPHARMA,11.5,,Elhafez Reference 25065
LOWTIMIB COMP 10/20MG 10 F.C. TAB.,,,EZETIMIBE+SIMVASTATIN,,ORAL.SOLID,PHAROPHARMA,12.3,,Elhafez Reference 25065
LOXAPINE 25MG 10CAPS.,,,LOXAPINE,,ORAL.SOLID,GLOBAL NAPI PHARMACEUTICALS > AL DELTA PHARMACEUTICALS TRADING CO.,8.0,,Elhafez Reference 25065
LOXAPINE 50MG 10CAPS.,,,LOXAPINE,,ORAL.SOLID,GLOBAL NAPI PHARMACEUTICALS > AL DELTA PHARMACEUTICALS TRADING CO.,15.0,,Elhafez Reference 25065
LOXARAF 20 TABS,,,VITAMIN B6+VITAMIN B12+FOLATE+D BIOTIN,,ORAL.SOLID,ORGANIX > ZOLOX,120.0,,Elhafez Reference 25065
LOXY PROBIOTIC DRINKABLE AMOULES 10 X 12 ML,,,BACILLUS COAGULANS SPORES+CURCUMIN+NIACIN,,ORAL.LIQUID,PHARMA VITAL > LOXYMORE PHARMA,750.0,,Elhafez Reference 25065
LOXYBEAUTY COLLAGEN DRINKABLE AMPOULES 20 X 25 ML,,,COLLAGEN+VITAMIN C+HYALURONIC ACID+BIOTIN+ZINC+SELENIUM,,ORAL.LIQUID,PHARMA VITAL > LOXYMORE PHARMA,2100.0,,Elhafez Reference 25065
